age	marital	education	housing.loan	personal.loan	contact	day.of.week	duration.contact	number.contatcs.campaign	poutcome	term.deposit
29	single	university.degree	1	0	telephone	fri	10	27	nonexistent	0
31	married	university.degree	1	0	cellular	thu	113	1	nonexistent	0
27	married	university.degree	0	0	telephone	wed	191	5	nonexistent	0
60	divorced	professional.course	1	0	cellular	wed	481	1	failure	1
55	married	professional.course	1	1	cellular	mon	233	1	failure	0
37	married	basic	1	0	cellular	wed	204	2	nonexistent	0
46	married	high.school	1	0	cellular	mon	180	1	nonexistent	0
42	divorced	basic	1	0	cellular	wed	16	2	nonexistent	0
35	single	university.degree	1	0	cellular	mon	447	3	nonexistent	0
29	divorced	high.school	0	1	telephone	mon	361	3	nonexistent	0
32	married	basic	0	0	cellular	mon	1091	2	success	1
37	married	university.degree	0	0	cellular	fri	395	1	failure	0
39	single	professional.course	0	0	telephone	mon	432	4	nonexistent	1
51	married	high.school	1	0	telephone	mon	596	3	nonexistent	1
28	single	high.school	1	0	cellular	tue	59	3	nonexistent	0
34	married	university.degree	1	0	cellular	wed	77	4	nonexistent	0
31	single	high.school	1	1	cellular	tue	768	1	nonexistent	1
31	married	university.degree	1	0	cellular	thu	96	5	nonexistent	0
31	single	university.degree	1	0	telephone	wed	357	2	nonexistent	0
38	single	university.degree	0	0	telephone	thu	459	2	nonexistent	0
33	married	basic	0	0	telephone	fri	11	6	nonexistent	0
32	single	university.degree	0	0	cellular	tue	264	12	nonexistent	0
54	married	professional.course	1	0	cellular	mon	698	1	nonexistent	0
41	divorced	high.school	1	0	telephone	tue	204	2	nonexistent	0
59	married	basic	0	0	cellular	thu	93	7	nonexistent	0
57	married	university.degree	1	0	cellular	thu	374	1	success	0
38	divorced	university.degree	1	0	cellular	thu	252	1	nonexistent	0
46	married	university.degree	1	0	telephone	tue	158	1	nonexistent	0
37	single	university.degree	1	1	cellular	tue	95	1	nonexistent	0
45	single	university.degree	0	0	cellular	thu	505	1	nonexistent	1
36	married	basic	1	0	telephone	wed	16	1	nonexistent	0
40	single	high.school	1	0	cellular	mon	300	5	nonexistent	0
38	married	basic	0	0	cellular	tue	180	2	failure	0
44	married	high.school	0	0	telephone	tue	390	2	nonexistent	0
25	married	university.degree	1	0	telephone	fri	274	2	nonexistent	0
30	single	basic	1	0	telephone	tue	135	5	nonexistent	0
43	married	professional.course	0	0	cellular	tue	257	2	nonexistent	0
58	married	basic	0	0	telephone	mon	268	3	nonexistent	0
31	married	professional.course	1	0	telephone	wed	157	6	nonexistent	0
53	married	university.degree	0	0	cellular	tue	477	2	nonexistent	0
37	married	university.degree	0	1	cellular	fri	76	1	failure	0
58	married	high.school	1	0	cellular	tue	103	1	nonexistent	0
37	married	high.school	1	1	cellular	thu	436	3	nonexistent	0
33	single	basic	1	0	cellular	thu	483	2	nonexistent	0
45	married	high.school	1	0	cellular	fri	250	1	nonexistent	0
44	married	professional.course	0	0	telephone	mon	259	1	nonexistent	0
38	married	basic	1	0	telephone	thu	389	2	nonexistent	0
34	married	basic	0	0	telephone	tue	7	1	nonexistent	0
47	married	university.degree	1	0	cellular	wed	123	1	nonexistent	0
59	married	university.degree	1	1	cellular	wed	92	1	nonexistent	0
51	married	basic	1	1	cellular	thu	297	2	nonexistent	0
31	married	basic	1	0	telephone	wed	406	2	nonexistent	0
56	married	university.degree	1	1	cellular	wed	104	1	failure	0
39	married	university.degree	0	0	telephone	mon	135	2	nonexistent	0
41	married	university.degree	1	0	cellular	tue	854	1	nonexistent	1
41	divorced	basic	1	0	cellular	thu	147	1	nonexistent	0
53	married	high.school	0	0	telephone	thu	203	4	nonexistent	0
35	married	high.school	0	1	cellular	mon	149	4	nonexistent	0
58	married	basic	0	1	cellular	wed	144	1	nonexistent	0
25	married	professional.course	1	0	telephone	wed	394	2	nonexistent	0
35	divorced	basic	1	0	cellular	tue	523	1	failure	0
28	single	high.school	0	0	cellular	wed	73	1	nonexistent	0
55	married	professional.course	1	1	cellular	fri	197	3	failure	0
54	married	basic	0	1	telephone	thu	108	1	nonexistent	0
45	divorced	basic	0	0	cellular	wed	80	2	nonexistent	0
32	married	basic	1	0	cellular	thu	114	1	failure	0
50	married	basic	1	0	cellular	thu	122	3	nonexistent	0
75	married	basic	0	0	cellular	tue	109	1	failure	1
29	married	university.degree	0	1	cellular	wed	181	2	nonexistent	0
45	married	university.degree	1	0	cellular	thu	239	1	nonexistent	0
38	divorced	university.degree	0	0	cellular	mon	360	1	nonexistent	1
24	single	professional.course	1	0	telephone	mon	314	1	nonexistent	0
41	married	professional.course	1	0	cellular	mon	984	1	nonexistent	0
58	divorced	high.school	1	0	cellular	tue	663	1	nonexistent	1
34	married	university.degree	0	1	telephone	wed	157	2	nonexistent	0
34	married	university.degree	0	0	cellular	mon	141	2	nonexistent	0
37	divorced	professional.course	0	0	telephone	wed	374	1	nonexistent	0
53	divorced	basic	0	0	telephone	wed	706	1	nonexistent	1
54	divorced	professional.course	1	1	cellular	tue	797	14	nonexistent	0
32	divorced	professional.course	1	0	cellular	tue	250	1	nonexistent	0
42	married	high.school	1	0	cellular	fri	311	6	nonexistent	0
28	single	professional.course	1	0	cellular	thu	63	2	success	1
33	single	high.school	1	0	telephone	fri	111	1	nonexistent	0
41	married	basic	1	0	cellular	mon	148	2	nonexistent	0
31	married	high.school	0	1	cellular	thu	49	1	nonexistent	0
40	married	basic	0	1	telephone	thu	171	4	nonexistent	0
53	married	basic	0	1	cellular	wed	242	1	failure	0
40	divorced	university.degree	1	0	cellular	mon	257	1	nonexistent	0
82	married	basic	0	0	telephone	tue	279	3	success	1
28	married	basic	1	0	cellular	mon	113	1	nonexistent	0
30	married	high.school	1	0	cellular	wed	246	3	nonexistent	0
31	single	university.degree	1	0	cellular	tue	309	1	success	1
32	single	university.degree	1	0	cellular	wed	168	1	nonexistent	0
54	married	basic	1	0	cellular	tue	153	1	nonexistent	0
31	married	basic	0	0	cellular	wed	152	1	nonexistent	0
31	single	high.school	1	1	cellular	wed	149	1	nonexistent	0
32	married	high.school	1	0	cellular	thu	640	1	nonexistent	0
46	single	high.school	1	0	cellular	mon	199	2	failure	0
47	single	high.school	0	0	cellular	mon	1114	2	nonexistent	0
32	single	high.school	0	0	cellular	mon	74	2	failure	0
52	divorced	high.school	0	0	cellular	mon	190	1	nonexistent	0
45	married	high.school	1	0	cellular	fri	738	3	success	1
32	married	university.degree	1	0	cellular	fri	374	2	nonexistent	0
71	divorced	basic	0	0	cellular	thu	224	1	nonexistent	0
49	married	high.school	1	0	telephone	fri	344	2	nonexistent	0
46	married	high.school	1	1	telephone	wed	148	10	nonexistent	0
46	married	professional.course	0	0	cellular	fri	383	1	nonexistent	0
38	married	university.degree	1	0	cellular	tue	35	6	nonexistent	0
57	married	professional.course	0	0	cellular	mon	153	2	nonexistent	0
44	married	professional.course	0	0	telephone	fri	124	3	nonexistent	0
47	married	university.degree	1	0	cellular	wed	345	7	nonexistent	0
40	married	basic	1	1	telephone	wed	951	2	nonexistent	0
57	single	professional.course	1	0	telephone	mon	188	1	nonexistent	0
52	married	basic	0	0	cellular	fri	809	1	nonexistent	1
34	married	university.degree	1	1	telephone	wed	192	1	nonexistent	0
42	married	university.degree	1	0	telephone	tue	154	1	nonexistent	0
45	married	basic	1	0	telephone	fri	100	1	nonexistent	0
56	married	high.school	0	0	cellular	mon	317	1	nonexistent	0
41	married	university.degree	1	0	cellular	thu	93	1	nonexistent	0
44	married	high.school	1	0	cellular	fri	111	1	nonexistent	0
50	married	basic	1	0	cellular	mon	293	3	success	1
54	married	high.school	0	0	cellular	tue	119	3	nonexistent	0
51	married	basic	0	0	cellular	fri	393	1	nonexistent	0
30	single	basic	0	0	cellular	wed	30	1	nonexistent	0
42	married	basic	1	0	telephone	fri	38	8	nonexistent	0
41	married	professional.course	1	0	telephone	mon	442	11	nonexistent	0
47	single	basic	0	0	cellular	tue	187	2	nonexistent	0
35	married	basic	1	0	cellular	fri	113	1	failure	0
58	married	basic	0	0	cellular	tue	64	1	failure	0
50	divorced	high.school	1	1	cellular	mon	629	2	nonexistent	1
41	married	professional.course	0	0	telephone	tue	92	1	nonexistent	0
38	married	university.degree	1	0	cellular	wed	147	1	nonexistent	0
32	single	university.degree	0	0	cellular	thu	151	2	nonexistent	0
21	single	high.school	0	0	cellular	tue	259	1	failure	0
46	divorced	basic	0	0	telephone	wed	423	1	nonexistent	0
42	married	university.degree	1	0	cellular	fri	888	3	nonexistent	0
55	married	basic	0	0	cellular	wed	76	13	nonexistent	0
29	single	high.school	1	0	telephone	mon	207	1	success	0
30	single	basic	1	0	telephone	wed	100	1	nonexistent	0
53	married	basic	1	0	cellular	wed	63	1	nonexistent	0
35	married	university.degree	1	0	cellular	wed	265	2	nonexistent	0
46	married	professional.course	1	0	telephone	tue	273	4	nonexistent	0
43	married	university.degree	1	0	cellular	tue	261	1	nonexistent	0
42	married	high.school	1	0	cellular	mon	136	4	nonexistent	0
32	married	professional.course	0	0	cellular	tue	711	1	nonexistent	0
41	divorced	basic	1	0	cellular	fri	88	1	failure	0
28	married	university.degree	0	0	cellular	tue	72	3	failure	0
24	single	university.degree	0	0	cellular	thu	113	6	nonexistent	0
43	married	university.degree	1	1	cellular	fri	307	1	nonexistent	0
30	single	university.degree	1	0	cellular	mon	39	1	nonexistent	0
55	married	basic	0	0	cellular	tue	63	2	nonexistent	0
51	married	basic	0	0	cellular	fri	64	1	nonexistent	0
22	single	high.school	0	1	cellular	fri	154	2	nonexistent	0
32	single	university.degree	0	1	cellular	thu	126	1	nonexistent	0
43	married	professional.course	0	0	cellular	thu	127	3	nonexistent	0
39	married	basic	0	0	telephone	mon	156	5	nonexistent	0
38	single	professional.course	1	0	cellular	mon	202	3	failure	0
59	married	basic	0	0	telephone	tue	353	4	nonexistent	0
31	married	basic	1	0	telephone	wed	159	2	nonexistent	0
76	single	basic	0	0	cellular	mon	347	4	success	1
44	single	basic	1	0	telephone	mon	76	3	nonexistent	0
32	married	high.school	0	0	telephone	fri	174	1	nonexistent	0
33	single	university.degree	1	0	cellular	thu	686	4	nonexistent	1
59	married	basic	1	0	cellular	fri	94	1	nonexistent	0
28	married	basic	1	0	cellular	mon	225	3	nonexistent	0
33	single	basic	1	0	cellular	fri	474	2	nonexistent	0
53	married	high.school	1	0	cellular	thu	76	1	nonexistent	0
41	married	high.school	0	0	cellular	wed	377	6	nonexistent	1
55	married	basic	0	1	cellular	thu	185	1	nonexistent	0
45	married	basic	0	0	telephone	tue	121	1	nonexistent	0
35	married	professional.course	0	0	cellular	thu	126	4	nonexistent	0
31	married	high.school	0	0	cellular	mon	160	3	nonexistent	0
53	married	university.degree	0	0	cellular	mon	313	4	nonexistent	0
35	single	professional.course	1	0	cellular	thu	141	1	nonexistent	0
45	divorced	basic	1	0	cellular	thu	219	1	nonexistent	0
34	single	university.degree	0	0	telephone	thu	267	2	nonexistent	0
42	married	basic	0	0	telephone	mon	406	3	failure	0
36	married	basic	1	1	cellular	thu	151	3	nonexistent	0
44	married	high.school	0	0	telephone	wed	228	3	nonexistent	0
50	divorced	university.degree	1	0	cellular	tue	73	2	nonexistent	0
36	married	university.degree	1	0	cellular	fri	355	1	nonexistent	0
27	married	professional.course	0	0	cellular	thu	102	9	nonexistent	0
25	single	university.degree	1	1	telephone	mon	35	6	nonexistent	0
29	married	university.degree	1	1	cellular	tue	116	2	nonexistent	0
44	married	high.school	0	0	telephone	wed	83	3	nonexistent	0
30	single	high.school	1	0	cellular	wed	605	1	nonexistent	0
37	married	university.degree	1	1	cellular	wed	585	2	nonexistent	0
57	married	basic	0	0	cellular	tue	94	1	nonexistent	0
32	married	professional.course	1	0	cellular	thu	255	1	nonexistent	1
54	married	professional.course	0	0	cellular	tue	1868	2	success	1
58	married	basic	1	0	cellular	mon	846	1	nonexistent	1
29	single	university.degree	1	0	cellular	tue	158	5	nonexistent	0
60	married	high.school	0	0	cellular	tue	73	1	nonexistent	0
27	single	university.degree	0	0	telephone	wed	404	2	nonexistent	0
30	married	high.school	1	0	cellular	tue	383	3	nonexistent	0
42	married	basic	0	0	telephone	wed	51	1	nonexistent	0
48	married	high.school	0	0	telephone	tue	87	1	nonexistent	0
35	single	university.degree	0	0	cellular	mon	167	2	nonexistent	0
46	married	basic	1	1	telephone	mon	440	1	nonexistent	0
30	married	high.school	0	0	telephone	mon	151	3	nonexistent	0
28	single	high.school	1	1	cellular	thu	48	4	failure	0
34	married	high.school	1	0	telephone	tue	309	1	nonexistent	0
42	married	basic	0	0	telephone	thu	236	1	nonexistent	0
30	single	university.degree	1	0	cellular	tue	288	1	nonexistent	0
27	single	basic	1	0	cellular	wed	111	1	nonexistent	0
23	married	university.degree	1	0	cellular	thu	87	1	nonexistent	0
43	married	basic	1	0	telephone	tue	193	1	nonexistent	0
59	married	basic	1	1	telephone	tue	318	1	nonexistent	0
31	single	university.degree	0	0	cellular	mon	209	1	failure	0
43	married	basic	0	0	telephone	wed	173	2	nonexistent	0
52	married	high.school	1	0	telephone	mon	503	2	nonexistent	0
26	single	high.school	1	1	telephone	thu	127	1	nonexistent	0
24	married	basic	1	1	telephone	fri	101	6	nonexistent	0
35	single	basic	0	0	cellular	thu	370	1	failure	0
59	married	professional.course	0	0	cellular	thu	1207	4	failure	1
28	married	basic	0	0	telephone	thu	262	1	nonexistent	0
37	single	basic	0	0	telephone	wed	211	2	nonexistent	0
46	married	professional.course	0	0	cellular	fri	609	1	failure	0
26	single	university.degree	1	0	cellular	fri	806	3	success	1
40	married	university.degree	1	0	cellular	thu	77	6	nonexistent	0
56	married	basic	1	0	cellular	tue	335	2	nonexistent	0
40	married	university.degree	1	0	cellular	tue	459	1	nonexistent	0
29	single	university.degree	1	1	telephone	wed	266	2	nonexistent	0
28	single	basic	1	0	cellular	thu	225	1	failure	0
28	single	university.degree	1	0	cellular	mon	434	1	nonexistent	0
33	married	professional.course	0	0	telephone	thu	191	4	nonexistent	0
56	married	university.degree	1	1	telephone	thu	82	1	nonexistent	0
57	married	basic	0	0	cellular	tue	388	4	nonexistent	1
24	single	high.school	1	0	telephone	thu	15	1	nonexistent	0
39	married	university.degree	0	0	telephone	wed	17	2	nonexistent	0
25	single	university.degree	0	0	telephone	wed	188	2	nonexistent	0
36	married	basic	0	0	cellular	wed	951	3	failure	1
48	married	university.degree	1	0	cellular	wed	288	1	nonexistent	0
32	single	university.degree	1	0	cellular	thu	206	1	nonexistent	0
48	married	university.degree	1	1	cellular	fri	154	2	nonexistent	0
30	married	university.degree	1	0	telephone	wed	72	3	nonexistent	0
41	divorced	high.school	0	0	telephone	tue	293	2	nonexistent	0
54	divorced	basic	1	0	cellular	tue	141	1	nonexistent	0
29	single	university.degree	1	0	cellular	mon	215	1	nonexistent	1
28	single	high.school	1	0	telephone	mon	102	2	nonexistent	0
30	married	university.degree	0	0	telephone	tue	178	2	nonexistent	0
54	married	university.degree	1	0	telephone	thu	461	3	nonexistent	0
33	married	basic	0	0	telephone	tue	82	1	nonexistent	0
38	married	basic	0	0	cellular	wed	204	1	success	0
46	divorced	basic	1	0	telephone	tue	143	8	nonexistent	0
38	divorced	university.degree	0	0	telephone	fri	50	3	nonexistent	0
38	married	high.school	0	0	cellular	thu	81	1	nonexistent	0
33	married	high.school	1	0	telephone	wed	233	1	nonexistent	0
25	married	university.degree	0	0	telephone	fri	56	1	nonexistent	0
29	single	university.degree	1	0	cellular	fri	104	10	nonexistent	0
60	married	professional.course	0	0	telephone	tue	55	15	nonexistent	0
57	married	high.school	1	0	cellular	mon	126	2	nonexistent	0
36	single	university.degree	0	0	cellular	wed	142	1	nonexistent	0
54	married	university.degree	0	0	cellular	thu	9	5	nonexistent	0
25	single	university.degree	0	0	telephone	tue	247	3	nonexistent	0
41	married	university.degree	0	0	telephone	wed	130	4	nonexistent	0
54	married	university.degree	1	0	cellular	tue	336	1	nonexistent	0
39	divorced	basic	0	0	cellular	wed	101	1	nonexistent	0
55	divorced	university.degree	0	0	cellular	fri	56	1	failure	0
40	married	high.school	0	0	telephone	mon	160	3	nonexistent	0
43	married	university.degree	1	0	telephone	tue	424	1	nonexistent	0
81	married	basic	0	0	cellular	mon	617	2	nonexistent	1
43	divorced	professional.course	1	0	cellular	mon	143	1	nonexistent	0
34	married	high.school	1	0	cellular	wed	238	1	success	1
42	married	high.school	1	0	cellular	tue	188	1	nonexistent	0
30	married	basic	0	0	cellular	tue	154	2	nonexistent	0
24	single	basic	0	1	telephone	mon	222	2	nonexistent	0
42	married	basic	0	0	cellular	tue	632	5	success	0
51	married	basic	0	1	telephone	wed	91	7	nonexistent	0
38	married	high.school	0	0	cellular	mon	90	3	nonexistent	0
45	married	basic	1	1	cellular	mon	187	1	nonexistent	0
51	divorced	university.degree	0	0	telephone	fri	86	1	nonexistent	0
44	married	university.degree	0	0	telephone	fri	165	6	nonexistent	0
52	married	basic	1	0	cellular	fri	102	1	nonexistent	0
49	married	university.degree	1	0	telephone	mon	212	1	nonexistent	0
49	married	professional.course	1	0	telephone	tue	57	1	nonexistent	0
52	married	basic	0	0	telephone	fri	54	4	nonexistent	0
32	married	university.degree	0	0	cellular	thu	73	4	nonexistent	0
27	married	high.school	0	0	cellular	thu	184	3	nonexistent	0
44	divorced	high.school	1	0	cellular	tue	173	8	failure	0
33	single	university.degree	0	0	cellular	wed	6	7	nonexistent	0
30	married	basic	0	0	cellular	tue	70	2	nonexistent	0
32	single	university.degree	1	0	cellular	thu	96	1	nonexistent	0
36	married	professional.course	1	1	telephone	tue	102	3	nonexistent	0
49	married	high.school	1	0	cellular	wed	98	1	nonexistent	0
48	single	basic	1	1	cellular	thu	106	2	nonexistent	0
48	married	professional.course	1	0	cellular	fri	336	8	nonexistent	1
42	married	basic	0	0	telephone	wed	456	2	nonexistent	0
28	married	high.school	1	0	cellular	wed	293	3	nonexistent	0
52	married	university.degree	1	1	cellular	thu	118	1	nonexistent	0
23	single	university.degree	1	0	cellular	tue	314	2	nonexistent	0
36	married	basic	1	0	telephone	wed	167	1	nonexistent	0
43	divorced	university.degree	0	0	cellular	tue	111	2	nonexistent	0
31	divorced	high.school	1	0	cellular	thu	236	1	nonexistent	0
49	married	basic	1	0	cellular	wed	155	2	nonexistent	0
36	married	basic	1	0	cellular	mon	80	3	nonexistent	0
47	divorced	basic	0	0	telephone	fri	241	2	nonexistent	0
46	married	professional.course	0	0	telephone	mon	88	1	nonexistent	0
54	married	basic	1	0	cellular	tue	439	3	nonexistent	0
35	married	university.degree	0	0	cellular	thu	322	3	nonexistent	0
37	divorced	high.school	0	0	telephone	thu	51	10	nonexistent	0
44	married	basic	1	0	telephone	mon	147	1	nonexistent	0
30	married	high.school	0	0	cellular	mon	417	1	success	1
33	single	high.school	1	0	cellular	tue	498	5	nonexistent	0
43	married	basic	0	0	cellular	wed	117	2	nonexistent	0
29	single	university.degree	0	0	cellular	mon	68	2	nonexistent	0
35	divorced	high.school	1	1	telephone	mon	82	2	failure	0
47	married	high.school	0	0	cellular	wed	99	2	nonexistent	0
37	married	university.degree	1	0	cellular	thu	252	1	nonexistent	0
35	single	university.degree	0	0	cellular	mon	712	1	nonexistent	0
37	married	basic	1	1	cellular	thu	171	1	nonexistent	0
36	married	high.school	1	0	cellular	wed	112	2	nonexistent	0
50	married	basic	0	0	cellular	thu	84	1	nonexistent	0
30	single	university.degree	0	0	cellular	mon	135	1	nonexistent	0
33	married	basic	1	0	cellular	tue	132	1	nonexistent	0
37	single	high.school	0	1	cellular	tue	223	6	nonexistent	0
45	divorced	university.degree	0	1	cellular	fri	133	1	nonexistent	0
30	single	university.degree	0	0	cellular	fri	258	2	failure	0
51	divorced	university.degree	0	0	cellular	wed	345	2	nonexistent	0
49	single	basic	0	0	telephone	mon	58	10	nonexistent	0
31	single	university.degree	1	0	cellular	thu	958	5	nonexistent	0
40	single	university.degree	1	0	cellular	fri	250	1	nonexistent	0
41	married	professional.course	0	1	cellular	thu	898	2	nonexistent	0
58	married	basic	1	0	cellular	thu	185	1	success	0
49	married	basic	1	0	telephone	thu	282	1	nonexistent	0
39	divorced	professional.course	1	0	telephone	fri	135	1	nonexistent	0
48	married	basic	0	1	telephone	tue	175	1	nonexistent	0
50	married	basic	0	0	cellular	thu	235	2	nonexistent	0
51	married	basic	0	0	cellular	tue	132	2	nonexistent	0
36	single	university.degree	0	0	telephone	wed	117	4	nonexistent	0
35	married	basic	1	0	cellular	tue	372	2	nonexistent	0
44	married	high.school	0	0	cellular	mon	126	1	nonexistent	0
43	married	basic	0	1	cellular	wed	69	1	failure	0
30	single	university.degree	0	0	cellular	thu	183	7	nonexistent	0
41	divorced	basic	1	0	telephone	tue	270	1	nonexistent	0
27	single	university.degree	1	0	telephone	tue	134	2	nonexistent	0
45	married	high.school	1	1	cellular	mon	449	2	success	1
26	single	high.school	1	0	telephone	fri	160	3	nonexistent	0
24	single	high.school	0	0	cellular	wed	115	1	failure	0
46	married	university.degree	1	0	cellular	thu	205	6	nonexistent	0
61	married	basic	1	1	cellular	fri	403	1	success	1
50	divorced	basic	0	0	telephone	fri	145	4	nonexistent	0
49	married	professional.course	1	0	telephone	tue	82	9	nonexistent	0
55	married	basic	1	0	cellular	fri	548	1	failure	0
54	married	basic	1	0	cellular	thu	109	2	nonexistent	0
40	divorced	basic	1	0	cellular	wed	207	3	nonexistent	0
58	married	basic	1	1	cellular	wed	173	1	nonexistent	0
58	married	university.degree	0	0	telephone	wed	175	1	nonexistent	0
36	single	university.degree	1	0	cellular	thu	379	1	nonexistent	0
30	single	university.degree	1	0	cellular	wed	105	1	nonexistent	0
45	single	university.degree	1	0	cellular	thu	544	1	nonexistent	0
40	married	university.degree	1	0	cellular	fri	401	1	failure	0
42	married	university.degree	0	0	cellular	mon	84	2	nonexistent	0
24	single	high.school	0	0	cellular	tue	86	1	nonexistent	0
49	married	university.degree	0	0	cellular	mon	549	3	nonexistent	0
55	married	basic	1	0	telephone	tue	6	1	nonexistent	0
49	married	high.school	1	0	cellular	fri	183	1	nonexistent	0
48	married	basic	0	1	telephone	tue	291	1	nonexistent	0
49	married	high.school	0	0	cellular	fri	151	1	nonexistent	0
40	married	high.school	1	0	telephone	mon	98	1	nonexistent	0
35	married	high.school	0	0	cellular	fri	301	2	nonexistent	0
32	single	professional.course	1	0	telephone	mon	16	11	nonexistent	0
67	divorced	professional.course	1	0	cellular	mon	655	2	success	1
41	married	university.degree	1	1	cellular	fri	170	4	nonexistent	0
73	married	university.degree	1	0	cellular	fri	179	1	nonexistent	1
32	single	basic	0	0	telephone	mon	73	7	nonexistent	0
33	married	university.degree	1	0	cellular	wed	113	3	nonexistent	0
36	married	professional.course	1	0	telephone	wed	86	4	nonexistent	0
40	married	professional.course	1	0	cellular	thu	180	1	failure	0
25	single	basic	1	1	cellular	thu	212	2	nonexistent	0
45	married	university.degree	1	0	cellular	thu	391	1	nonexistent	0
33	married	university.degree	0	0	telephone	wed	91	2	nonexistent	0
31	married	university.degree	1	0	cellular	thu	280	7	nonexistent	0
48	married	university.degree	1	0	telephone	thu	750	2	nonexistent	0
42	married	university.degree	1	0	cellular	mon	257	1	nonexistent	0
40	married	university.degree	0	1	cellular	tue	454	3	nonexistent	0
30	married	university.degree	0	0	cellular	fri	171	1	success	0
41	married	basic	0	0	telephone	wed	38	1	nonexistent	0
41	divorced	basic	0	0	cellular	thu	268	1	nonexistent	0
60	married	university.degree	0	1	telephone	thu	112	1	nonexistent	0
44	single	professional.course	1	0	cellular	mon	775	5	failure	1
25	married	high.school	1	0	cellular	fri	164	1	nonexistent	0
30	married	basic	0	0	cellular	wed	988	1	nonexistent	1
25	married	university.degree	1	0	telephone	fri	109	1	nonexistent	0
31	divorced	university.degree	1	0	cellular	thu	132	1	nonexistent	0
29	single	university.degree	0	0	cellular	wed	259	1	nonexistent	0
47	married	university.degree	0	0	telephone	thu	42	1	nonexistent	0
25	married	high.school	0	1	telephone	tue	125	4	nonexistent	0
29	married	professional.course	0	0	telephone	fri	886	3	nonexistent	1
36	married	basic	0	0	cellular	thu	406	1	nonexistent	0
45	single	basic	0	0	telephone	mon	185	1	nonexistent	0
31	single	university.degree	0	0	telephone	thu	154	1	nonexistent	1
51	married	basic	1	0	telephone	tue	334	2	nonexistent	0
44	married	basic	1	0	cellular	tue	955	2	nonexistent	1
24	single	basic	1	0	cellular	fri	545	2	nonexistent	0
40	married	university.degree	1	0	cellular	tue	124	1	nonexistent	0
39	married	basic	0	0	telephone	thu	126	2	nonexistent	0
44	married	basic	0	0	cellular	tue	659	1	failure	0
